2017-10-13 09:30:01 |  | resendEmails | action | Resending Emails
2017-10-13 09:30:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 09:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 09:30:12 |  | executeEvents | action | Executing Events , 2017-10-13 09:30:01 
2017-10-13 09:30:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 09:30:12 |  | unassignedCase | action | Unassigned case
2017-10-13 09:45:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 09:45:02 |  | resendEmails | action | Resending Emails
2017-10-13 09:45:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 09:45:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 09:45:13 |  | executeEvents | action | Executing Events , 2017-10-13 09:45:01 
2017-10-13 09:45:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 09:45:13 |  | unassignedCase | action | Unassigned case
2017-10-13 10:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 10:00:01 |  | resendEmails | action | Resending Emails
2017-10-13 10:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 10:00:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 10:00:12 |  | executeEvents | action | Executing Events , 2017-10-13 10:00:01 
2017-10-13 10:00:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 10:00:12 |  | unassignedCase | action | Unassigned case
2017-10-13 10:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 10:15:01 |  | resendEmails | action | Resending Emails
2017-10-13 10:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 10:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 10:15:12 |  | executeEvents | action | Executing Events , 2017-10-13 10:15:01 
2017-10-13 10:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 10:15:12 |  | unassignedCase | action | Unassigned case
2017-10-13 10:30:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 10:30:02 |  | resendEmails | action | Resending Emails
2017-10-13 10:30:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 10:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 10:30:12 |  | executeEvents | action | Executing Events , 2017-10-13 10:30:01 
2017-10-13 10:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 10:30:13 |  | unassignedCase | action | Unassigned case
2017-10-13 10:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 10:45:01 |  | resendEmails | action | Resending Emails
2017-10-13 10:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 10:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 10:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 10:45:01 
2017-10-13 10:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 10:45:12 |  | unassignedCase | action | Unassigned case
2017-10-13 11:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 11:00:01 |  | resendEmails | action | Resending Emails
2017-10-13 11:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 11:00:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 11:00:12 |  | executeEvents | action | Executing Events , 2017-10-13 11:00:01 
2017-10-13 11:00:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 11:00:12 |  | unassignedCase | action | Unassigned case
2017-10-13 11:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 11:15:01 |  | resendEmails | action | Resending Emails
2017-10-13 11:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 11:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 11:15:12 |  | executeEvents | action | Executing Events , 2017-10-13 11:15:01 
2017-10-13 11:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 11:15:12 |  | unassignedCase | action | Unassigned case
2017-10-13 11:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 11:30:02 |  | resendEmails | action | Resending Emails
2017-10-13 11:30:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 11:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 11:30:12 |  | executeEvents | action | Executing Events , 2017-10-13 11:30:01 
2017-10-13 11:30:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 11:30:12 |  | unassignedCase | action | Unassigned case
2017-10-13 11:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 11:45:01 |  | resendEmails | action | Resending Emails
2017-10-13 11:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 11:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 11:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 11:45:01 
2017-10-13 11:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 11:45:12 |  | unassignedCase | action | Unassigned case
2017-10-13 12:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 12:00:01 |  | resendEmails | action | Resending Emails
2017-10-13 12:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 12:00:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 12:00:12 |  | executeEvents | action | Executing Events , 2017-10-13 12:00:01 
2017-10-13 12:00:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 12:00:12 |  | unassignedCase | action | Unassigned case
2017-10-13 12:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 12:15:01 |  | resendEmails | action | Resending Emails
2017-10-13 12:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 12:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 12:15:12 |  | executeEvents | action | Executing Events , 2017-10-13 12:15:01 
2017-10-13 12:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 12:15:12 |  | unassignedCase | action | Unassigned case
2017-10-13 12:30:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 12:30:02 |  | resendEmails | action | Resending Emails
2017-10-13 12:30:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 12:30:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 12:30:13 |  | executeEvents | action | Executing Events , 2017-10-13 12:30:01 
2017-10-13 12:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 12:30:13 |  | unassignedCase | action | Unassigned case
2017-10-13 12:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 12:45:01 |  | resendEmails | action | Resending Emails
2017-10-13 12:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 12:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 12:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 12:45:01 
2017-10-13 12:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 12:45:12 |  | unassignedCase | action | Unassigned case
2017-10-13 13:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 13:00:01 |  | resendEmails | action | Resending Emails
2017-10-13 13:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 13:00:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 13:00:12 |  | executeEvents | action | Executing Events , 2017-10-13 13:00:01 
2017-10-13 13:00:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 13:00:12 |  | unassignedCase | action | Unassigned case
2017-10-13 13:15:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 13:15:02 |  | resendEmails | action | Resending Emails
2017-10-13 13:15:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 13:15:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 13:15:13 |  | executeEvents | action | Executing Events , 2017-10-13 13:15:02 
2017-10-13 13:15:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 13:15:13 |  | unassignedCase | action | Unassigned case
2017-10-13 13:30:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 13:30:02 |  | resendEmails | action | Resending Emails
2017-10-13 13:30:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 13:30:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 13:30:13 |  | executeEvents | action | Executing Events , 2017-10-13 13:30:01 
2017-10-13 13:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 13:30:13 |  | unassignedCase | action | Unassigned case
2017-10-13 13:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 13:45:01 |  | resendEmails | action | Resending Emails
2017-10-13 13:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 13:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 13:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 13:45:01 
2017-10-13 13:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 13:45:12 |  | unassignedCase | action | Unassigned case
2017-10-13 14:00:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 14:00:02 |  | resendEmails | action | Resending Emails
2017-10-13 14:00:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 14:00:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 14:00:13 |  | executeEvents | action | Executing Events , 2017-10-13 14:00:01 
2017-10-13 14:00:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 14:00:13 |  | unassignedCase | action | Unassigned case
2017-10-13 14:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 14:15:01 |  | resendEmails | action | Resending Emails
2017-10-13 14:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 14:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 14:15:12 |  | executeEvents | action | Executing Events , 2017-10-13 14:15:01 
2017-10-13 14:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 14:15:12 |  | unassignedCase | action | Unassigned case
2017-10-13 14:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 14:30:01 |  | resendEmails | action | Resending Emails
2017-10-13 14:30:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 14:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 14:30:12 |  | executeEvents | action | Executing Events , 2017-10-13 14:30:01 
2017-10-13 14:30:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 14:30:12 |  | unassignedCase | action | Unassigned case
2017-10-13 14:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 14:45:01 |  | resendEmails | action | Resending Emails
2017-10-13 14:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 14:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 14:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 14:45:01 
2017-10-13 14:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 14:45:12 |  | unassignedCase | action | Unassigned case
2017-10-13 15:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 15:00:01 |  | resendEmails | action | Resending Emails
2017-10-13 15:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 15:00:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 15:00:13 |  | executeEvents | action | Executing Events , 2017-10-13 15:00:01 
2017-10-13 15:00:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 15:00:13 |  | unassignedCase | action | Unassigned case
2017-10-13 15:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 15:15:01 |  | resendEmails | action | Resending Emails
2017-10-13 15:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 15:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 15:15:12 |  | executeEvents | action | Executing Events , 2017-10-13 15:15:01 
2017-10-13 15:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-13 15:15:12 |  | unassignedCase | action | Unassigned case
2017-10-13 15:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 15:30:01 |  | resendEmails | action | Resending Emails
2017-10-13 15:30:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 15:30:13 |  | calculateDuration | action | Calculating Duration
2017-10-13 15:30:13 |  | executeEvents | action | Executing Events , 2017-10-13 15:30:01 
2017-10-13 15:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 15:30:13 |  | unassignedCase | action | Unassigned case
2017-10-13 15:45:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-13 15:45:02 |  | resendEmails | action | Resending Emails
2017-10-13 15:45:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-13 15:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-13 15:45:12 |  | executeEvents | action | Executing Events , 2017-10-13 15:45:01 
2017-10-13 15:45:13 |  | updateCaseLabels | action | Update case labels
2017-10-13 15:45:13 |  | unassignedCase | action | Unassigned case
